source	category	subject	label	credit	erase
class/Death_Knight_Crest.webp	classes	death-knight	Death Knight	Warcraft Wiki (Blizzard Entertainment)	
class/1280px-Demon_Hunter_Crest.png	classes	demon-hunter	Demon Hunter	Warcraft Wiki (Blizzard Entertainment)	
class/Druid_Crest.png	classes	druid	Druid	Warcraft Wiki (Blizzard Entertainment)	
class/Dracthyr_Crest.webp	classes	evoker	Evoker	Warcraft Wiki (Blizzard Entertainment)	
class/Hunter_Crest.png	classes	hunter	Hunter	Warcraft Wiki (Blizzard Entertainment)	
class/Mage_Crest.png	classes	mage	Mage	Warcraft Wiki (Blizzard Entertainment)	
class/Monk_Crest.png	classes	monk	Monk	Warcraft Wiki (Blizzard Entertainment)	
class/Paladin_Crest.png	classes	paladin	Paladin	Warcraft Wiki (Blizzard Entertainment)	
class/Priest_Crest.png	classes	priest	Priest	Warcraft Wiki (Blizzard Entertainment)	
class/Rogue_Crest.png	classes	rogue	Rogue	Warcraft Wiki (Blizzard Entertainment)	
class/Shaman_Crest.png	classes	shaman	Shaman	Warcraft Wiki (Blizzard Entertainment)	
class/Warlock_Crest.webp	classes	warlock	Warlock	Warcraft Wiki (Blizzard Entertainment)	
class/Warrior_Crest.png	classes	warrior	Warrior	Warcraft Wiki (Blizzard Entertainment)	
expansion/2560px-Battle_for_Azeroth_logo.png	expansions	battle-for-azeroth	Battle for Azeroth	Warcraft Wiki (Blizzard Entertainment)	
expansion/250px-Cataclysmlogo.webp	expansions	cataclysm	Cataclysm	Warcraft Wiki (Blizzard Entertainment)	
expansion/WoWlogo.png	expansions	classic	Classic (Vanilla)	Warcraft Wiki (Blizzard Entertainment)	
expansion/2560px-Dragonflight_logo.png	expansions	dragonflight	Dragonflight	Warcraft Wiki (Blizzard Entertainment)	
expansion/2880px-Legionlogo.png	expansions	legion	Legion	Warcraft Wiki (Blizzard Entertainment)	
expansion/250px-Midnight_2024_logo.webp	expansions	midnight	Midnight	Warcraft Wiki (Blizzard Entertainment)	
expansion/2880px-MoPlogo.png	expansions	mists-of-pandaria	Mists of Pandaria	Warcraft Wiki (Blizzard Entertainment)	
expansion/2880px-Shadowlands_logo.png	expansions	shadowlands	Shadowlands	Warcraft Wiki (Blizzard Entertainment)	
expansion/TBCLogo.png	expansions	the-burning-crusade	The Burning Crusade	Warcraft Wiki (Blizzard Entertainment)	
expansion/The_Last_Titan_logo.webp	expansions	the-last-titan	The Last Titan	Warcraft Wiki (Blizzard Entertainment)	
expansion/The_War_Within_logo_noRays.png	expansions	the-war-within	The War Within	Warcraft Wiki (Blizzard Entertainment)	
expansion/WoDLogo.png	expansions	warlords-of-draenor	Warlords of Draenor	Warcraft Wiki (Blizzard Entertainment)	
expansion/2560px-WrathLogo.png	expansions	wrath-of-the-lich-king	Wrath of the Lich King	Warcraft Wiki (Blizzard Entertainment)	
faction/major/Alliance_Crest.png	factions	alliance-crest	Alliance Crest	Warcraft Wiki (Blizzard Entertainment)	
faction/major/1024px-AllianceLogo.png	factions	alliance-logo	Alliance Logo	Warcraft Wiki (Blizzard Entertainment)	
faction/expansion/12-midnight/AmaniTribe-MajorFactionsIcons.webp	factions	amani-tribe	Amani Tribe	Warcraft Wiki (Blizzard Entertainment)	
faction/expansion/11-the-war-within/AssemblyoftheDeeps-MajorFactionsIcons.png	factions	assembly-of-the-deeps	Assembly of the Deeps	Warcraft Wiki (Blizzard Entertainment)	
other/Blackrock_Crest.webp	factions	blackrock	Blackrock	Warcraft Wiki (Blizzard Entertainment)	
other/Bleeding_hollow_Crest.png	factions	bleeding-hollow	Bleeding Hollow	Warcraft Wiki (Blizzard Entertainment)	
faction/expansion/11-the-war-within/CartelsofUndermine-MajorFactionsIcons.png	factions	cartels-of-undermine	Cartels of Undermine	Warcraft Wiki (Blizzard Entertainment)	
faction/expansion/11-the-war-within/CouncilofDornogal-MajorFactionsIcons.png	factions	council-of-dornogal	Council of Dornogal	Warcraft Wiki (Blizzard Entertainment)	
faction/expansion/10-dragonflight/MajorFactionsIcons-DragonscaleExpedition.png	factions	dragonscale-expedition	Dragonscale Expedition	Warcraft Wiki (Blizzard Entertainment)	
